uuid,no_infection,weak_infection,strong_infection,phage_name,ncbi_id,tax_id
050af9af-6a39-431d-acbf-d87b18d7c1b1,"2e6eab21-45fe-4f66-9cb3-4f842b456713,9bf1251e-65ed-4bf0-9b17-b49c18f4fa41",,,phiMMP03 ,NC_028959,1582157
108c725e-5dcf-4230-a8c0-336195008c01,,,c7cc3d43-31f4-43cd-8553-cd3c87c05404,CLB_P3 ,OL770108,2911669
17a1f7ed-bb7a-4e44-b10d-834207c566f5,,,5118e052-b045-4def-9dfd-42c03f5f75f4,JSE ,EU863408,576789
19dc626c-a7c4-4b55-aea0-37c6b9e9bfdf,"296b474c-7aa7-40ff-8cc7-c83e1067ffe8,c7cc3d43-31f4-43cd-8553-cd3c87c05404,7e52c51a-cd73-4225-b9a7-3c40e5d3b1a0,467385d3-d26a-4d9a-9762-bf90fcebe975,7c1310cb-1a6c-4e99-82bc-cfba00bedb13,16c66c49-9630-4f07-a0af-7c6439a8e3ae,46ed67a4-365d-478a-948b-f6b04d5b5d10,e2d851da-d31c-446c-8733-ff17f8263cad,c3301d3a-3253-407e-82ef-8372b73a3302",,1fac851f-1542-4cc2-8fbc-897c1ed4b9c8,Mt1B1_P3 ,MT496969,2743962
1cb5ecd4-20fa-44f6-8cff-aa980f02a6d4,da782365-ff38-4765-adc6-51798dd109a2,,d305bad9-da0a-4519-8c28-919ce285a9af,Dagobah ,MT711977,2740180
2480c724-0b6b-4140-82eb-6dec4bf8acd5,"296b474c-7aa7-40ff-8cc7-c83e1067ffe8,c7cc3d43-31f4-43cd-8553-cd3c87c05404,7e52c51a-cd73-4225-b9a7-3c40e5d3b1a0,467385d3-d26a-4d9a-9762-bf90fcebe975,7c1310cb-1a6c-4e99-82bc-cfba00bedb13,16c66c49-9630-4f07-a0af-7c6439a8e3ae,46ed67a4-365d-478a-948b-f6b04d5b5d10,c3301d3a-3253-407e-82ef-8372b73a3302",,"e2d851da-d31c-446c-8733-ff17f8263cad,1fac851f-1542-4cc2-8fbc-897c1ed4b9c8",Mt1B1_P10 ,MT496971,2743960
25419567-22e5-4325-840e-3bb7bb6cc18e,"2e6eab21-45fe-4f66-9cb3-4f842b456713,9bf1251e-65ed-4bf0-9b17-b49c18f4fa41",,,phiCD481-1 ,NC_028951,1582153
2727111d-bffd-4d4a-bf9b-df4fe7c8a08c,bb8fa15c-904b-48b1-b5d4-610a3ac177a2,,9178e3b7-d6f6-42da-84f9-2adac0d35bb2,LUZ19 ,NC_010326,484896
2febc8d9-ba2b-4a67-ae90-0c59b1276b4d,,"2e6eab21-45fe-4f66-9cb3-4f842b456713,9bf1251e-65ed-4bf0-9b17-b49c18f4fa41",,phiCD111 ,NC_028905,1582150
315494e3-c04e-46dc-859d-ccd668bc2022,"296b474c-7aa7-40ff-8cc7-c83e1067ffe8,c7cc3d43-31f4-43cd-8553-cd3c87c05404,d9b7f9c4-172f-45fc-9937-c85947dc66a2,7c1310cb-1a6c-4e99-82bc-cfba00bedb13,16c66c49-9630-4f07-a0af-7c6439a8e3ae,f82e6f60-eacb-48da-8e6d-9abe4bb73030,46ed67a4-365d-478a-948b-f6b04d5b5d10,e2d851da-d31c-446c-8733-ff17f8263cad",7e52c51a-cd73-4225-b9a7-3c40e5d3b1a0,"467385d3-d26a-4d9a-9762-bf90fcebe975,c3301d3a-3253-407e-82ef-8372b73a3302",CrRp10 ,MG775043,2079276
406614fa-cc12-4bff-8795-98c7d0ecff20,,,"9178e3b7-d6f6-42da-84f9-2adac0d35bb2,bb8fa15c-904b-48b1-b5d4-610a3ac177a2",ΦKZ ,NC_004629,169683
43b856ea-b15a-4075-9e09-9a3d243f2e5a,9bf1251e-65ed-4bf0-9b17-b49c18f4fa41,,2e6eab21-45fe-4f66-9cb3-4f842b456713,phiCD146 ,NC_028958,1582151
452cc2cd-74cc-4e92-8a33-5b2ff980b77b,,,5118e052-b045-4def-9dfd-42c03f5f75f4,T4 ,NC_000866.4,10665
4848ed83-c019-484e-9e37-3eac73cf81a8,"296b474c-7aa7-40ff-8cc7-c83e1067ffe8,c7cc3d43-31f4-43cd-8553-cd3c87c05404,7e52c51a-cd73-4225-b9a7-3c40e5d3b1a0,7c1310cb-1a6c-4e99-82bc-cfba00bedb13,16c66c49-9630-4f07-a0af-7c6439a8e3ae,46ed67a4-365d-478a-948b-f6b04d5b5d10,e2d851da-d31c-446c-8733-ff17f8263cad,c3301d3a-3253-407e-82ef-8372b73a3302",,"467385d3-d26a-4d9a-9762-bf90fcebe975,1fac851f-1542-4cc2-8fbc-897c1ed4b9c8",Mt1B1_P17 ,MT496970,2743961
4d6b7ffb-9243-4980-b17e-d2c51f23c9d9,,,5118e052-b045-4def-9dfd-42c03f5f75f4,JS10 ,EU863409,576790
4f1c500d-f5af-4e0f-9beb-587f138f428a,9178e3b7-d6f6-42da-84f9-2adac0d35bb2,,bb8fa15c-904b-48b1-b5d4-610a3ac177a2,LBL3 ,NC_011165,549445
58d12e51-e58c-4b2b-a922-bcca15ca06b7,,,c7cc3d43-31f4-43cd-8553-cd3c87c05404,CLB_P2 ,OL770107,2920924
693cbefb-1d72-4513-a7f2-943079da9531,,,c7cc3d43-31f4-43cd-8553-cd3c87c05404,CLB_P1 ,KC109329,1262524
6ba6f169-b5e4-421a-816a-f569e1408723,,"2e6eab21-45fe-4f66-9cb3-4f842b456713,9bf1251e-65ed-4bf0-9b17-b49c18f4fa41",,phiCD38-2 ,NC_015568,1032362
6dd8dc62-fe38-4069-9653-804f7e1c05f7,9178e3b7-d6f6-42da-84f9-2adac0d35bb2,,bb8fa15c-904b-48b1-b5d4-610a3ac177a2,P3_CHA ,KC862296,981430
8296c0a7-ba0a-4b5c-8776-21f0497bb3d9,"d305bad9-da0a-4519-8c28-919ce285a9af,da782365-ff38-4765-adc6-51798dd109a2",,,Endor1 ,MT711978,2740181
